v1,v2,Label
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",FALSE
ham,Ok lar... Joking wif u oni...,FALSE
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,TRUE
ham,U dun say so early hor... U c already then say...,FALSE
ham,"Nah I don't think he goes to usf, he lives around here though",FALSE
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",TRUE
ham,Even my brother is not like to speak with me. They treat me like aids patent.,FALSE
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,FALSE
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,TRUE
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,TRUE
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",FALSE
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",TRUE
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",TRUE
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,FALSE
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,FALSE
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",TRUE
ham,Oh k...i'm watching here:),FALSE
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,FALSE
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,FALSE
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",TRUE
ham,Is that seriously how you spell his name?,FALSE
ham,I‰Û÷m going to try for 2 months ha ha only joking,FALSE
ham,So Ì_ pay first lar... Then when is da stock comin...,FALSE
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,FALSE
ham,Ffffffffff. Alright no way I can meet up with you sooner?,FALSE
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,FALSE
ham,Lol your always so convincing.,FALSE
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,FALSE
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",FALSE
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,FALSE
